x,y,output,outputtype,datatype,metric,n_x,n_y,n_output,n_outputtype,n_datatype,count
169996882641840998035058326614180847810,-33848664520583492711138715985631519337,out,valid,String,130.0,169996882641840998035058326614180847811,-33848664520583492711138715985631519337,"DomainError(-8.123224018935351e34, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169818556538593123030581438101806485652,135221775,"DomainError(-1.313735718395687e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,169818556538593123030581438101806485653,135221775,"DomainError(-1.3201882568332092e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169814295204109282097954646118811910805,91,"DomainError(-4.132062019632298e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,169814295204109282097954646118811910806,91,"DomainError(-4.1974396709042876e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169813685466124556057720349915579560129,1306346113,"DomainError(-3.4317697022879945e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,2.0,169813685466124556057720349915579560130,1306346113,"DomainError(-3.49726930115693e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169681261976202599493522091296421270470,-7691,out,valid,String,130.0,169681261976202599493522091296421270471,-7691,"DomainError(-5.386905666137241e35, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169609752031448915791905741753066896962,5575,out,valid,String,130.0,169609752031448915791905741753066896963,5575,"DomainError(-7.464359728764759e35, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169442057554530527989949261871192896923,6382,"DomainError(-1.6930746024391675e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,131.0,169442057554530527989949261871192896924,6382,out,valid,String,1
169430111745534233579360296130403153629,20293,"DomainError(-1.6905301369272353e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,131.0,169430111745534233579360296130403153630,20293,out,valid,String,1
169254686857399473424336319706336148127,4031169561,"DomainError(-1.505903387577514e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,169254686857399473424336319706336148128,4031169561,"DomainError(-1.5236333196389092e38, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
169017114014065275991044270556251812318,149988303049426443037668875994559993073,out,valid,String,131.0,169017114014065275991044270556251812319,149988303049426443037668875994559993073,"DomainError(-2.0813025270591394e36, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
168946788401751737784818419012435358547,11647,out,valid,String,131.0,168946788401751737784818419012435358548,11647,"DomainError(-2.0088831473521267e36, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
168926856060420354643077880335558334226,89121231938085581467944859415723820788,out,valid,String,130.0,168926856060420354643077880335558334226,89121231938085581467944859415723820789,"DomainError(-8.358198813111904e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
168837423039685622615540184890387119202,65,"DomainError(-9.64826962475974e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1.0,168837423039685622615540184890387119203,65,"DomainError(-9.909021708916463e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,1
168605816185111388647101519187730027285,49275431782729547395132046828494337783,"DomainError(-7.323368421882596e37, ""sqrt will only return a complex result if called with a complex argument. Try sqrt(Complex(x))."")",error,DomainError,130.0,168605816185111388647101519187730027285,49275431782729547395132046828494337784,out,valid,String,1
